"host_hostname","authority_key_id","ca","common_name","issuer","key_algorithm","key_strength","key_usage","not_valid_after","not_valid_before","path","self_signed","serial","sha1","sid","signing_algorithm","store","store_id","store_location","subject","subject_key_id","username"
"dc.windomain.local","0B00A3A5C4BFF14800215B59F823193D2E30A8FD","-1","VirtualBox for Legacy Windows Only Timestamp CA","DE, Bavaria, Munich, Oracle Deutschland B.V. & Co. KG, VirtualBox for Legacy Windows Only Timestamp CA","RSA","4208","CERT_KEY_CERT_SIGN_KEY_USAGE","2145916799","1262304000","CurrentUser\\Trusted Root Certification Authorities","1","033DB638E181E7FCE551A6EDE45FCEB1C4164E51","F530E4200FF093E61B55AFF7B0EA28B1F23376E8","S-1-5-21-2715129506-1718414214-3630666396-1000","sha256RSA","Trusted Root Certification Authorities","","CurrentUser","DE, Bavaria, Munich, Oracle Deutschland B.V. & Co. KG, VirtualBox for Legacy Windows Only Timestamp CA","0B00A3A5C4BFF14800215B59F823193D2E30A8FD","vagrant"
"dc.windomain.local","","-1","Microsoft Root Certificate Authority","com, microsoft, Microsoft Root Certificate Authority","RSA","4208","CERT_OFFLINE_CRL_SIGN_KEY_USAGE,CERT_KEY_CERT_SIGN_KEY_USAGE,CERT_NON_REPUDIATION_KEY_USAGE,CERT_DIGITAL_SIGNATURE_KEY_USAGE","1620602893","989450362","CurrentUser\\Trusted Root Certification Authorities","1","79AD16A14AA0A5AD4C7358F407132E65","CDD4EEAE6000AC7F40C3802C171E30148030C072","S-1-5-21-2715129506-1718414214-3630666396-1000","sha1RSA","Trusted Root Certification Authorities","","CurrentUser","com, microsoft, Microsoft Root Certificate Authority","0EAC826040562797E52513FC2AE10A539559E4A4","vagrant"
"dc.windomain.local","","-1","Thawte Timestamping CA","ZA, Western Cape, Durbanville, Thawte, Thawte Certification, Thawte Timestamping CA","RSA","1120","","1609459199","852076800","CurrentUser\\Trusted Root Certification Authorities","1","00","BE36A4562FB2EE05DBB3D32323ADF445084ED656","S-1-5-21-2715129506-1718414214-3630666396-1000","md5RSA","Trusted Root Certification Authorities","","CurrentUser","ZA, Western Cape, Durbanville, Thawte, Thawte Certification, Thawte Timestamping CA","DDBCBD869C3F07ED40E31B08EFCEC4D188CD3B15","vagrant"
"dc.windomain.local","","-1","Microsoft Root Authority","Copyright (c) 1997 Microsoft Corp., Microsoft Corporation, Microsoft Root Authority","RSA","2160","","1609398000","852879600","CurrentUser\\Trusted Root Certification Authorities","1","00C1008B3C3C8811D13EF663ECDF40","A43489159A520F0D93D032CCAF37E7FE20A8B419","S-1-5-21-2715129506-1718414214-3630666396-1000","md5RSA","Trusted Root Certification Authorities","","CurrentUser","Copyright (c) 1997 Microsoft Corp., Microsoft Corporation, Microsoft Root Authority","4A5C7522AA46BFA4089D39974EBDB4A360F7A01D","vagrant"
"dc.windomain.local","","-1","Symantec Enterprise Mobile Root for Microsoft","US, Symantec Corporation, Symantec Enterprise Mobile Root for Microsoft","RSA","2160","CERT_OFFLINE_CRL_SIGN_KEY_USAGE,CERT_KEY_CERT_SIGN_KEY_USAGE","1962921599","1331769600","CurrentUser\\Trusted Root Certification Authorities","1","0F6B552F9EBF907B0F6629A9BDF4D8CE","92B46C76E13054E104F230517E6E504D43AB10B5","S-1-5-21-2715129506-1718414214-3630666396-1000","sha256RSA","Trusted Root Certification Authorities","","CurrentUser","US, Symantec Corporation, Symantec Enterprise Mobile Root for Microsoft","4DECDF2606DC2410C0B699F4D739C76F19F82628","vagrant"
"dc.windomain.local","","-1","Microsoft Root Certificate Authority 2011","US, Washington, Redmond, Microsoft Corporation, Microsoft Root Certificate Authority 2011","RSA","4208","CERT_OFFLINE_CRL_SIGN_KEY_USAGE,CERT_KEY_CERT_SIGN_KEY_USAGE,CERT_DIGITAL_SIGNATURE_KEY_USAGE","2089836784","1300831528","CurrentUser\\Trusted Root Certification Authorities","1","3F8BC8B5FC9FB29643B569D66C42E144","8F43288AD272F3103B6FB1428485EA3014C0BCFE","S-1-5-21-2715129506-1718414214-3630666396-1000","sha256RSA","Trusted Root Certification Authorities","","CurrentUser","US, Washington, Redmond, Microsoft Corporation, Microsoft Root Certificate Authority 2011","722D3A02319043B914054EE1EAA7C731D1238934","vagrant"
"dc.windomain.local","","-1","Microsoft Authenticode(tm) Root Authority","US, MSFT, Microsoft Authenticode(tm) Root Authority","RSA","2160","","946684799","788947201","CurrentUser\\Trusted Root Certification Authorities","1","01","7F88CD7223F3C813818C994614A89C99FA3B5247","S-1-5-21-2715129506-1718414214-3630666396-1000","md5RSA","Trusted Root Certification Authorities","","CurrentUser","US, MSFT, Microsoft Authenticode(tm) Root Authority","01F0334C1AA1D9EE5B7BA9DE43BC027D570933FB","vagrant"
"dc.windomain.local","CF99A9EA7B26F44BC98E8FD7F00526EFE3D2A79D","-1","Oracle Corporation","US, \"VeriSign, Inc.\", VeriSign Trust Network, Terms of use at https://www.verisign.com/rpa (c)10, VeriSign Class 3 Code Signing 2010 CA","RSA","2160","CERT_DIGITAL_SIGNATURE_KEY_USAGE","1482451199","1387756800","CurrentUser\\Trusted Root Certification Authorities","0","51CA009816FDBD80F120E015EE75823E","7E92B66BE51B79D8CE3FF25C15C2DF6AB8C7F2F2","S-1-5-21-2715129506-1718414214-3630666396-1000","sha1RSA","Trusted Root Certification Authorities","","CurrentUser","US, California, Redwood Shores, Oracle Corporation, Digital ID Class 3 - Microsoft Software Validation v2, VirtualBox, Oracle Corporation","8E0C7B3CA537415F1BEEF2C95C3689A36118DAED","vagrant"
"dc.windomain.local","7B68CE29AAC017BE497AE1E53FD6A7F7458F3532","-1","Oracle Corporation","US, DigiCert Inc, www.digicert.com, DigiCert Assured ID Code Signing CA-1","RSA","2160","CERT_DIGITAL_SIGNATURE_KEY_USAGE","1648036800","1552953600","CurrentUser\\Trusted Root Certification Authorities","0","05308B76AC2E15B29720FB4395F65F38","6F474206BCBB391BB82BA9E5DC0302DEF37AEBBE","S-1-5-21-2715129506-1718414214-3630666396-1000","sha1RSA","Trusted Root Certification Authorities","","CurrentUser","US, CA, Redwood Shores, Oracle Corporation, Virtualbox, Oracle Corporation","580A4653E175D36E5870202641E146F432F375CE","vagrant"
"dc.windomain.local","","-1","Microsoft Root Certificate Authority 2010","US, Washington, Redmond, Microsoft Corporation, Microsoft Root Certificate Authority 2010","RSA","4208","CERT_OFFLINE_CRL_SIGN_KEY_USAGE,CERT_KEY_CERT_SIGN_KEY_USAGE,CERT_DIGITAL_SIGNATURE_KEY_USAGE","2066249041","1277330244","CurrentUser\\Trusted Root Certification Authorities","1","28CC3A25BFBA44AC449A9B586B4339AA","3B1EFD3A66EA28B16697394703A72CA340A05BD5","S-1-5-21-2715129506-1718414214-3630666396-1000","sha256RSA","Trusted Root Certification Authorities","","CurrentUser","US, Washington, Redmond, Microsoft Corporation, Microsoft Root Certificate Authority 2010","D5F656CB8FE8A25C6268D13D94905BD7CE9A18C4","vagrant"
